year,month,total,min,max
1898,1,0.00,0.00,0.00
1898,2,2.50,0.00,2.50
1898,3,222.50,0.00,821.40
1898,4,40.90,0.00,214.50
1898,5,32.00,0.00,85.50
1898,6,8.40,0.00,18.70
1898,7,6.10,0.00,31.00
1898,8,29.20,0.00,124.40
1898,9,0.00,0.00,0.00
1898,10,15.70,0.00,20.80
1898,11,20.30,0.00,38.30
1899,12,30.70,0.00,71.40
1899,1,43.90,0.00,234.30
1899,2,61.50,0.00,253.40
1899,3,358.60,0.00,1212.70
1899,4,34.30,0.00,204.50
1899,5,15.70,0.00,82.80
1899,6,18.80,0.00,30.70
1899,7,24.60,0.00,65.80
1899,8,21.10,0.00,47.30
1899,9,10.20,0.00,77.30
1899,10,7.40,0.00,16.80
1899,11,7.40,0.00,16.80
1900,12,25.10,0.00,71.30
1900,1,219.70,0.00,962.60
1900,2,13.20,0.00,26.70
1900,3,47.20,0.00,215.40
1900,4,24.40,0.00,93.20
1900,5,26.70,0.00,116.30
1900,6,34.30,0.00,58.60
1900,7,5.30,0.00,12.30
1900,8,1.00,0.00,1.30
1900,9,25.40,0.00,51.60
1900,10,15.70,0.00,38.80
1900,11,9.90,0.00,20.80
1901,12,16.30,0.00,69.60
1901,1,156.50,0.00,371.00
1901,2,154.70,0.00,598.70
1901,3,46.50,0.00,302.40
1901,4,77.50,0.00,213.30
1901,5,69.30,0.00,337.70
1901,6,14.50,0.00,25.20
1901,7,15.20,0.00,20.80
1901,8,13.00,0.00,54.40
1901,9,15.50,0.00,45.90
1901,10,37.80,0.00,60.70
1901,11,38.10,0.00,103.30
1902,12,7.60,0.00,12.70
1902,1,54.60,0.00,122.00
1902,2,121.40,0.00,305.70
1902,3,98.60,0.00,272.70
1902,4,18.80,0.00,95.20
1902,5,16.50,0.00,88.10
1902,6,24.60,0.00,154.40
1902,7,68.30,0.00,144.20
1902,8,9.40,0.00,34.30
1902,9,0.00,0.00,0.00
1902,10,5.30,0.00,6.40
1902,11,21.30,0.00,39.10
1903,12,23.40,0.00,64.30
1903,1,123.20,0.00,466.30
1903,2,104.10,0.00,275.70
1903,3,248.20,0.00,1061.90
1903,4,359.70,0.00,582.50
1903,5,10.90,0.00,56.30
1903,6,9.40,0.00,22.10
1903,7,9.70,0.00,34.30
1903,8,17.80,0.00,49.50
1903,9,5.60,0.00,14.80
1903,10,0.00,0.00,0.00
1903,11,53.30,0.00,118.00
1904,12,164.80,0.00,406.30
1904,1,53.80,0.00,160.70
1904,2,26.20,0.00,88.40
1904,3,184.70,0.00,590.10
1904,4,80.00,0.00,324.80
1904,5,23.60,0.00,51.30
1904,6,0.00,0.00,0.00
1904,7,3.80,0.00,3.80
1904,8,14.00,0.00,32.60
1904,9,8.10,0.00,8.10
1904,10,28.40,0.00,48.50
1904,11,11.20,0.00,13.20
1905,12,159.80,0.00,356.00
1905,1,208.80,0.00,806.70
1905,2,67.30,0.00,166.10
1905,3,32.80,0.00,125.50
1905,4,66.00,0.00,250.80
1905,5,32.30,0.00,154.00
1905,6,21.30,0.00,73.90
1905,7,12.40,0.00,36.00
1905,8,23.40,0.00,76.50
1905,9,0.00,0.00,0.00
1905,10,5.80,0.00,8.80
1905,11,12.20,0.00,33.00
1906,12,10.20,0.00,13.20
1906,1,79.50,0.00,236.90
1906,2,50.00,0.00,309.00
1906,3,110.20,0.00,405.30
1906,4,16.80,0.00,107.80
1906,5,33.00,0.00,146.80
1906,6,30.70,0.00,125.50
1906,7,19.60,0.00,70.40
1906,8,11.90,0.00,72.80
1906,9,21.60,0.00,70.70
1906,10,6.60,0.00,13.40
1906,11,55.90,0.00,230.20
1907,12,33.30,0.00,211.80
1907,1,92.50,0.00,523.00
1907,2,48.00,0.00,280.00
1907,3,31.80,0.00,123.20
1907,4,16.00,0.00,64.80
1907,5,53.30,0.00,265.50
1907,6,40.60,0.00,123.20
1907,7,7.60,0.00,7.60
1907,8,11.70,0.00,23.30
1907,9,11.40,0.00,23.60
1907,10,2.30,0.00,6.70
1907,11,10.20,0.00,49.80
1908,12,156.50,0.00,687.10
1908,1,247.10,0.00,571.90
1908,2,101.30,0.00,185.20
1908,3,128.00,0.00,635.00
1908,4,21.80,0.00,133.70
1908,5,31.80,0.00,84.40
1908,6,5.60,0.00,7.40
1908,7,62.50,0.00,166.00
1908,8,22.90,0.00,59.70
1908,9,28.40,0.00,38.30
1908,10,102.10,0.00,173.30
1908,11,15.50,0.00,41.10
1909,12,14.00,0.00,43.00
1909,1,314.20,0.00,670.60
1909,2,33.50,0.00,107.90
1909,3,81.30,0.00,332.90
1909,4,43.90,0.00,122.20
1909,5,18.80,0.00,36.80
1909,6,21.80,0.00,68.30
1909,7,13.70,0.00,20.30
1909,8,20.30,0.00,66.00
1909,9,3.80,0.00,3.80
1909,10,30.50,0.00,121.20
1909,11,30.50,0.00,209.80
1910,12,160.80,0.00,484.60
1910,1,238.80,0.00,838.70
1910,2,148.60,0.00,477.30
1910,3,92.70,0.00,525.20
1910,4,135.10,0.00,453.10
1910,5,39.60,0.00,110.40
1910,6,44.50,0.00,190.10
1910,7,0.00,0.00,0.00
1910,8,14.00,0.00,92.60
1910,9,10.20,0.00,32.00
1910,10,19.30,0.00,45.50
1910,11,25.90,0.00,93.60
1911,12,205.70,0.00,489.50
1911,1,272.30,0.00,1012.70
1911,2,414.00,0.00,698.80
1911,3,617.20,0.00,1881.30
1911,4,731.50,0.00,1840.70
1911,5,14.00,0.00,48.40
1911,6,3.80,0.00,14.90
1911,7,8.90,0.00,19.20
1911,8,0.00,0.00,0.00
1911,9,0.00,0.00,0.00
1911,10,0.00,0.00,0.00
1911,11,4.10,0.00,7.90
1912,12,17.80,0.00,32.00
1912,1,59.70,0.00,97.80
1912,2,41.90,0.00,291.30
1912,3,102.90,0.00,410.00
1912,4,29.70,0.00,105.00
1912,5,24.60,0.00,152.90
1912,6,129.50,0.00,237.90
1912,7,11.90,0.00,29.50
1912,8,30.50,0.00,83.80
1912,9,9.10,0.00,16.40
1912,10,34.50,0.00,88.40
1912,11,12.70,0.00,43.20
1913,12,16.80,0.00,34.00
1913,1,415.00,0.00,1196.30
1913,2,385.60,0.00,691.20
1913,3,147.60,0.00,663.30
1913,4,165.40,0.00,396.60
1913,5,165.40,0.00,217.00
1913,6,15.20,0.00,21.50
1913,7,5.80,0.00,5.80
1913,8,3.00,0.00,3.00
1913,9,3.30,0.00,5.10
1913,10,30.50,0.00,51.10
1913,11,0.00,0.00,0.00
1914,12,147.30,0.00,633.70
1914,1,216.40,0.00,769.00
1914,2,162.60,0.00,471.60
1914,3,101.60,0.00,407.60
1914,4,61.00,0.00,239.60
1914,5,36.80,0.00,138.80
1914,6,47.00,0.00,103.70
1914,7,12.70,0.00,23.90
1914,8,38.10,0.00,128.30
1914,9,21.10,0.00,108.80
1914,10,13.00,0.00,86.20
1914,11,24.10,0.00,114.90
1915,12,31.20,0.00,129.40
1915,1,20.30,0.00,72.70
1915,2,50.80,0.00,129.00
1915,3,35.10,0.00,69.00
1915,4,17.80,0.00,78.30
1915,5,15.70,0.00,51.30
1915,6,21.30,0.00,50.90
1915,7,51.30,0.00,93.20
1915,8,0.00,0.00,0.00
1915,9,0.00,0.00,0.00
1915,10,3.80,0.00,5.60
1915,11,19.10,0.00,32.20
1916,12,38.60,0.00,169.20
1916,1,283.20,0.00,666.00
1916,2,50.80,0.00,185.60
1916,3,24.10,0.00,92.60
1916,4,56.60,0.00,171.00
1916,5,22.60,0.00,98.90
1916,6,15.20,0.00,44.30
1916,7,22.90,0.00,136.80
1916,8,24.90,0.00,84.40
1916,9,23.40,0.00,90.90
1916,10,17.80,0.00,86.90
1916,11,15.20,0.00,25.40
1917,12,221.20,0.00,657.60
1917,1,36.30,0.00,113.30
1917,2,55.40,0.00,247.00
1917,3,48.80,0.00,266.40
1917,4,59.40,0.00,154.80
1917,5,40.60,0.00,98.30
1917,6,7.40,0.00,22.60
1917,7,0.00,0.00,0.00
1917,8,14.70,0.00,49.50
1917,9,11.90,0.00,11.90
1917,10,49.30,0.00,129.30
1917,11,57.90,0.00,202.60
1918,12,74.20,0.00,245.30
1918,1,48.50,0.00,214.10
1918,2,74.90,0.00,310.50
1918,3,50.80,0.00,235.30
1918,4,91.40,0.00,229.70
1918,5,16.80,0.00,71.90
1918,6,6.90,0.00,6.90
1918,7,15.70,0.00,70.90
1918,8,55.90,0.00,117.70
1918,9,1.00,0.00,1.00
1918,10,4.10,0.00,6.60
1918,11,14.00,0.00,28.00
1919,12,30.50,0.00,144.90
1919,1,200.70,0.00,333.00
1919,2,83.80,0.00,213.20
1919,3,63.50,0.00,135.90
1919,4,152.40,0.00,397.80
1919,5,25.40,0.00,80.00
1919,6,21.10,0.00,59.10
1919,7,43.20,0.00,68.30
1919,8,17.80,0.00,34.10
1919,9,35.60,0.00,72.10
1919,10,2.30,0.00,2.30
1919,11,13.50,0.00,30.00
1920,12,15.20,0.00,17.70
1920,1,141.00,0.00,426.80
1920,2,137.90,0.00,387.10
1920,3,72.40,0.00,201.10
1920,4,208.80,0.00,446.90
1920,5,128.30,0.00,405.30
1920,6,31.00,0.00,80.80
1920,7,78.70,0.00,128.50
1920,8,6.40,0.00,6.40
1920,9,10.20,0.00,40.40
1920,10,12.70,0.00,36.60
1920,11,30.50,0.00,122.90
1921,12,55.90,0.00,183.30
1921,1,124.50,0.00,278.40
1921,2,83.80,0.00,367.20
1921,3,214.60,0.00,937.50
1921,4,214.60,0.00,547.30
1921,5,29.50,0.00,118.10
1921,6,113.80,0.00,245.50
1921,7,21.60,0.00,50.80
1921,8,16.50,0.00,49.70
1921,9,24.60,0.00,56.80
1921,10,20.30,0.00,90.70
1921,11,26.40,0.00,63.80
1922,12,125.70,0.00,330.50
1922,1,81.30,0.00,158.40
1922,2,177.80,0.00,430.10
1922,3,132.10,0.00,352.80
1922,4,76.20,0.00,359.10
1922,5,32.80,0.00,113.80
1922,6,34.50,0.00,90.90
1922,7,57.20,0.00,90.70
1922,8,13.20,0.00,20.80
1922,9,13.50,0.00,26.70
1922,10,8.90,0.00,30.80
1922,11,1.50,0.00,1.50
1923,12,52.80,0.00,116.90
1923,1,24.40,0.00,102.90
1923,2,116.80,0.00,192.60
1923,3,218.40,0.00,611.10
1923,4,50.00,0.00,136.70
1923,5,12.40,0.00,19.80
1923,6,60.20,0.00,70.60
1923,7,9.90,0.00,15.70
1923,8,9.70,0.00,23.40
1923,9,0.00,0.00,0.00
1923,10,2.50,0.00,2.50
1923,11,9.90,0.00,11.70
1924,12,39.40,0.00,109.20
1924,1,148.80,0.00,264.60
1924,2,48.30,0.00,226.30
1924,3,55.90,0.00,272.80
1924,4,155.70,0.00,330.90
1924,5,30.50,0.00,130.60
1924,6,16.50,0.00,55.20
1924,7,20.10,0.00,69.80
1924,8,41.10,0.00,85.50
1924,9,14.20,0.00,44.90
1924,10,2.50,0.00,2.50
1924,11,110.20,0.00,303.00
1925,12,110.20,0.00,248.00
1925,1,83.80,0.00,337.00
1925,2,91.20,0.00,378.90
1925,3,139.40,0.00,762.70
1925,4,50.80,0.00,237.90
1925,5,0.00,0.00,0.00
1925,6,38.60,0.00,137.30
1925,7,17.80,0.00,21.90
1925,8,0.00,0.00,0.00
1925,9,0.00,0.00,0.00
1925,10,0.00,0.00,0.00
1925,11,14.20,0.00,21.80
1926,12,9.10,0.00,17.80
1926,1,134.60,0.00,448.20
1926,2,33.30,0.00,117.10
1926,3,35.60,0.00,210.00
1926,4,88.40,0.00,224.50
1926,5,18.50,0.00,22.80
1926,6,11.40,0.00,25.90
1926,7,7.10,0.00,10.40
1926,8,13.70,0.00,39.70
1926,9,28.40,0.00,144.20
1926,10,0.00,0.00,0.00
1926,11,12.40,0.00,23.80
1927,12,27.40,0.00,161.20
1927,1,127.00,0.00,428.30
1927,2,276.90,0.00,788.60
1927,3,54.10,0.00,186.40
1927,4,152.40,0.00,283.80
1927,5,12.70,0.00,46.80
1927,6,22.10,0.00,60.90
1927,7,22.90,0.00,72.20
1927,8,0.00,0.00,0.00
1927,9,12.70,0.00,35.30
1927,10,20.30,0.00,52.30
1927,11,6.90,0.00,8.70
1928,12,25.90,0.00,92.60
1928,1,45.70,0.00,101.40
1928,2,91.40,0.00,414.00
1928,3,256.50,0.00,461.20
1928,4,31.00,0.00,47.30
1928,5,20.60,0.00,65.70
1928,6,17.30,0.00,19.30
1928,7,14.70,0.00,55.90
1928,8,8.90,0.00,14.00
1928,9,0.00,0.00,0.00
1928,10,7.90,0.00,11.90
1928,11,83.80,0.00,221.40
1929,12,28.40,0.00,65.90
1929,1,215.10,0.00,632.70
1929,2,286.00,0.00,811.30
1929,3,58.20,0.00,284.60
1929,4,41.10,0.00,85.40
1929,5,26.20,0.00,28.70
1929,6,18.50,0.00,36.00
1929,7,12.20,0.00,24.40
1929,8,8.60,0.00,20.30
1929,9,9.10,0.00,35.50
1929,10,6.40,0.00,6.40
1929,11,42.40,0.00,60.30
1930,12,32.30,0.00,90.50
1930,1,277.90,0.00,1194.20
1930,2,128.30,0.00,341.10
1930,3,95.30,0.00,204.80
1930,4,8.10,0.00,32.80
1930,5,45.70,0.00,177.70
1930,6,16.80,0.00,46.00
1930,7,15.70,0.00,64.20
1930,8,3.60,0.00,9.20
1930,9,20.80,0.00,25.40
1930,10,172.70,0.00,366.10
1930,11,12.70,0.00,41.70
1931,12,61.00,0.00,159.10
1931,1,249.40,0.00,413.20
1931,2,96.00,0.00,133.10
1931,3,37.60,0.00,198.10
1931,4,134.60,0.00,303.60
1931,5,53.10,0.00,110.70
1931,6,44.50,0.00,163.40
1931,7,15.20,0.00,50.60
1931,8,9.70,0.00,33.60
1931,9,12.20,0.00,21.10
1931,10,62.20,0.00,131.00
1931,11,53.10,0.00,87.70
1932,12,131.60,0.00,327.40
1932,1,332.20,0.00,755.60
1932,2,77.20,0.00,198.20
1932,3,95.00,0.00,360.00
1932,4,4.60,0.00,10.90
1932,5,47.80,0.00,322.80
1932,6,34.00,0.00,42.60
1932,7,14.00,0.00,52.90
1932,8,31.00,0.00,81.80
1932,9,5.60,0.00,8.40
1932,10,2.30,0.00,4.30
1932,11,0.00,0.00,0.00
1933,12,163.30,0.00,319.50
1933,1,47.00,0.00,178.20
1933,2,208.80,0.00,709.60
1933,3,140.50,0.00,278.10
1933,4,111.30,0.00,545.40
1933,5,29.70,0.00,98.60
1933,6,34.30,0.00,159.30
1933,7,13.20,0.00,18.80
1933,8,30.00,0.00,101.30
1933,9,18.30,0.00,52.00
1933,10,14.70,0.00,39.40
1933,11,68.60,0.00,214.00
1934,12,100.60,0.00,333.40
1934,1,122.40,0.00,735.30
1934,2,170.40,0.00,699.70
1934,3,310.90,0.00,702.10
1934,4,57.40,0.00,261.20
1934,5,31.20,0.00,102.10
1934,6,23.40,0.00,57.00
1934,7,13.50,0.00,43.20
1934,8,11.90,0.00,23.30
1934,9,16.00,0.00,50.20
1934,10,26.40,0.00,79.50
1934,11,29.20,0.00,112.20
1935,12,0.00,0.00,0.00
1935,1,94.00,0.00,267.20
1935,2,240.00,0.00,516.50
1935,3,252.00,0.00,804.70
1935,4,27.90,0.00,85.70
1935,5,61.20,0.00,211.00
1935,6,154.70,0.00,173.50
1935,7,154.70,0.00,160.30
1935,8,16.50,0.00,53.80
1935,9,4.10,0.00,4.10
1935,10,62.50,0.00,186.60
1935,11,18.30,0.00,86.10
1936,12,19.30,0.00,32.20
1936,1,67.80,0.00,375.50
1936,2,193.00,0.00,832.00
1936,3,61.50,0.00,265.30
1936,4,51.60,0.00,243.40
1936,5,25.40,0.00,140.90
1936,6,88.90,0.00,250.70
1936,7,24.10,0.00,55.40
1936,8,0.00,0.00,0.00
1936,9,44.70,0.00,152.10
1936,10,9.40,0.00,9.40
1936,11,13.50,0.00,37.20
1937,12,34.50,0.00,191.50
1937,1,37.10,0.00,193.10
1937,2,60.20,0.00,132.60
1937,3,94.70,0.00,329.10
1937,4,131.10,0.00,144.30
1937,5,40.40,0.00,40.40
1937,6,0.00,0.00,0.00
1937,7,17.80,0.00,52.80
1937,8,11.40,0.00,25.30
1937,9,18.30,0.00,39.90
1937,10,19.80,0.00,19.80
1937,11,51.10,0.00,92.00
1938,12,80.00,0.00,111.20
1938,1,0.00,0.00,0.00
1938,2,0.00,0.00,0.00
1938,3,0.00,0.00,0.00
1938,4,0.00,0.00,0.00
1938,5,0.00,0.00,0.00
1938,6,0.00,0.00,0.00
1938,7,0.00,0.00,0.00
1938,8,0.00,0.00,0.00
1938,9,0.00,0.00,0.00
1938,10,0.00,0.00,0.00
1938,11,0.00,0.00,0.00
1939,12,0.00,0.00,0.00
1939,1,0.00,0.00,0.00
1939,2,0.00,0.00,0.00
1939,3,0.00,0.00,0.00
1939,4,0.00,0.00,0.00
1939,5,0.00,0.00,0.00
1939,6,0.00,0.00,0.00
1939,7,0.00,0.00,0.00
1939,8,0.00,0.00,0.00
1939,9,0.00,0.00,0.00
1939,10,0.00,0.00,0.00
1939,11,0.00,0.00,0.00
1940,12,0.00,0.00,0.00
1940,1,0.00,0.00,0.00
1940,2,0.00,0.00,0.00
1940,3,0.00,0.00,0.00
1940,4,24.90,0.00,101.70
1940,5,17.80,0.00,60.40
1940,6,43.20,0.00,150.60
1940,7,10.90,0.00,44.40
1940,8,7.10,0.00,17.40
1940,9,0.00,0.00,0.00
1940,10,0.00,0.00,0.00
1940,11,0.00,0.00,0.00
1941,12,0.00,0.00,0.00
1941,1,0.00,0.00,0.00
1941,2,0.00,0.00,0.00
1941,3,0.00,0.00,0.00
1941,4,0.00,0.00,0.00
1941,5,0.00,0.00,0.00
1941,6,0.00,0.00,0.00
1941,7,0.00,0.00,0.00
1941,8,0.00,0.00,0.00
1941,9,0.00,0.00,0.00
1941,10,0.00,0.00,0.00
1941,11,0.00,0.00,0.00
1942,12,65.80,0.00,121.90
1942,1,30.70,0.00,102.30
1942,2,45.70,0.00,230.30
1942,3,50.00,0.00,158.00
1942,4,61.00,0.00,228.10
1942,5,63.50,0.00,202.10
1942,6,33.00,0.00,163.90
1942,7,13.20,0.00,30.90
1942,8,6.40,0.00,7.90
1942,9,43.20,0.00,76.70
1942,10,5.60,0.00,9.40
1942,11,45.70,0.00,75.50
1943,12,129.50,0.00,477.00
1943,1,40.60,0.00,124.50
1943,2,190.50,0.00,690.40
1943,3,59.70,0.00,170.00
1943,4,12.70,0.00,69.80
1943,5,10.90,0.00,38.40
1943,6,21.80,0.00,29.70
1943,7,1.30,0.00,2.60
1943,8,0.00,0.00,0.00
1943,9,40.60,0.00,101.00
1943,10,13.50,0.00,28.00
1943,11,3.80,0.00,9.40
1944,12,43.20,0.00,104.90
1944,1,41.90,0.00,148.30
1944,2,139.70,0.00,691.50
1944,3,92.70,0.00,272.70
1944,4,38.10,0.00,92.20
1944,5,10.70,0.00,15.80
1944,6,43.90,0.00,124.20
1944,7,44.50,0.00,99.40
1944,8,13.50,0.00,30.10
1944,9,16.50,0.00,81.80
1944,10,17.80,0.00,59.80
1944,11,15.20,0.00,29.70
1945,12,32.50,0.00,121.80
1945,1,274.30,0.00,838.30
1945,2,274.30,0.00,890.20
1945,3,184.20,0.00,1297.50
1945,4,65.80,0.00,214.00
1945,5,95.30,0.00,205.30
1945,6,23.40,0.00,68.30
1945,7,14.00,0.00,94.50
1945,8,3.60,0.00,5.60
1945,9,1.30,0.00,1.30
1945,10,12.70,0.00,30.50
1945,11,18.00,0.00,58.20
1946,12,114.30,0.00,265.50
1946,1,88.90,0.00,295.60
1946,2,86.40,0.00,524.80
1946,3,102.90,0.00,226.90
1946,4,12.20,0.00,22.10
1946,5,15.20,0.00,65.00
1946,6,19.80,0.00,32.70
1946,7,16.00,0.00,30.30
1946,8,3.00,0.00,3.00
1946,9,1.30,0.00,2.60
1946,10,7.90,0.00,8.40
1946,11,14.70,0.00,22.40
1947,12,15.20,0.00,35.10
1947,1,20.80,0.00,94.10
1947,2,186.70,0.00,504.20
1947,3,64.80,0.00,302.50
1947,4,43.90,0.00,120.20
1947,5,38.10,0.00,138.90
1947,6,15.20,0.00,82.80
1947,7,14.70,0.00,56.40
1947,8,131.60,0.00,219.00
1947,9,61.00,0.00,90.90
1947,10,15.20,0.00,70.90
1947,11,55.90,0.00,109.00
1948,12,15.70,0.00,39.30
1948,1,141.70,0.00,512.50
1948,2,52.10,0.00,159.30
1948,3,88.90,0.00,366.50
1948,4,19.10,0.00,97.90
1948,5,13.70,0.00,49.00
1948,6,51.30,0.00,142.10
1948,7,39.90,0.00,112.40
1948,8,19.80,0.00,64.00
1948,9,0.00,0.00,0.00
1948,10,0.00,0.00,0.00
1948,11,9.70,0.00,29.20
1949,12,95.50,0.00,156.70
1949,1,94.50,0.00,348.00
1949,2,190.00,0.00,575.80
1949,3,80.00,0.00,456.50
1949,4,203.70,0.00,358.30
1949,5,20.30,0.00,63.10
1949,6,6.40,0.00,21.10
1949,7,5.80,0.00,9.80
1949,8,12.70,0.00,79.80
1949,9,11.40,0.00,25.40
1949,10,2.50,0.00,2.50
1949,11,25.10,0.00,50.40
1950,12,57.40,0.00,132.40
1950,1,235.00,0.00,744.10
1950,2,103.40,0.00,336.60
1950,3,74.90,0.00,461.10
1950,4,118.10,0.00,459.90
1950,5,17.80,0.00,57.50
1950,6,31.20,0.00,76.60
1950,7,23.90,0.00,103.80
1950,8,0.50,0.00,0.50
1950,9,7.90,0.00,22.90
1950,10,20.30,0.00,33.50
1950,11,171.50,0.00,382.10
1951,12,97.80,0.00,548.00
1951,1,66.30,0.00,413.50
1951,2,20.30,0.00,67.50
1951,3,39.40,0.00,145.50
1951,4,11.70,0.00,25.00
1951,5,19.10,0.00,62.10
1951,6,19.10,0.00,43.50
1951,7,8.90,0.00,24.50
1951,8,14.00,0.00,42.50
1951,9,24.10,0.00,134.10
1951,10,17.80,0.00,51.20
1951,11,38.10,0.00,68.30
1952,12,8.90,0.00,9.90
1952,1,81.30,0.00,484.40
1952,2,40.10,0.00,184.90
1952,3,99.60,0.00,322.20
1952,4,55.90,0.00,153.70
1952,5,20.30,0.00,94.50
1952,6,11.40,0.00,14.40
1952,7,14.50,0.00,21.10
1952,8,48.30,0.00,106.10
1952,9,12.70,0.00,37.90
1952,10,25.40,0.00,49.00
1952,11,20.30,0.00,39.80
1953,12,15.50,0.00,41.50
1953,1,146.10,0.00,947.60
1953,2,92.70,0.00,265.10
1953,3,156.70,0.00,682.00
1953,4,77.00,0.00,254.50
1953,5,40.60,0.00,68.60
1953,6,10.20,0.00,35.80
1953,7,23.90,0.00,105.50
1953,8,15.00,0.00,43.50
1953,9,100.30,0.00,133.80
1953,10,14.20,0.00,16.50
1953,11,19.10,0.00,54.90
1954,12,38.40,0.00,125.90
1954,1,59.90,0.00,288.30
1954,2,59.90,0.00,327.80
1954,3,86.60,0.00,321.90
1954,4,42.70,0.00,287.60
1954,5,35.10,0.00,76.20
1954,6,24.10,0.00,101.30
1954,7,17.50,0.00,41.20
1954,8,20.60,0.00,110.00
1954,9,4.10,0.00,11.10
1954,10,35.10,0.00,120.70
1954,11,7.60,0.00,18.20
1955,12,17.50,0.00,65.90
1955,1,53.30,0.00,149.80
1955,2,127.00,0.00,923.60
1955,3,156.50,0.00,683.60
1955,4,54.60,0.00,205.80
1955,5,52.60,0.00,187.50
1955,6,48.50,0.00,179.00
1955,7,6.10,0.00,25.20
1955,8,13.70,0.00,31.30
1955,9,14.20,0.00,66.30
1955,10,28.20,0.00,55.60
1955,11,51.60,0.00,133.10
1956,12,15.20,0.00,30.20
1956,1,114.30,0.00,440.10
1956,2,50.30,0.00,271.10
1956,3,166.60,0.00,543.80
1956,4,33.50,0.00,164.50
1956,5,18.00,0.00,46.40
1956,6,27.70,0.00,46.20
1956,7,16.00,0.00,21.10
1956,8,13.20,0.00,29.00
1956,9,13.00,0.00,26.20
1956,10,19.30,0.00,35.30
1956,11,16.30,0.00,39.00
1957,12,83.10,0.00,373.80
1957,1,147.60,0.00,689.30
1957,2,149.10,0.00,428.70
1957,3,176.30,0.00,510.30
1957,4,36.10,0.00,116.90
1957,5,45.70,0.00,142.80
1957,6,30.70,0.00,130.10
1957,7,6.10,0.00,39.70
1957,8,0.00,0.00,0.00
1957,9,0.80,0.00,0.80
1957,10,54.90,0.00,69.40
1957,11,54.90,0.00,80.30
1958,12,30.20,0.00,57.40
1958,1,88.40,0.00,361.60
1958,2,136.10,0.00,527.10
1958,3,179.10,0.00,522.00
1958,4,137.90,0.00,265.00
1958,5,24.40,0.00,114.50
1958,6,29.70,0.00,79.70
1958,7,0.00,0.00,0.00
1958,8,14.70,0.00,41.40
1958,9,4.30,0.00,8.90
1958,10,1.30,0.00,2.30
1958,11,20.80,0.00,55.70
1959,12,48.30,0.00,87.90
1959,1,181.90,0.00,541.30
1959,2,77.20,0.00,299.40
1959,3,167.90,0.00,808.50
1959,4,36.30,0.00,176.90
1959,5,18.00,0.00,175.10
1959,6,49.80,0.00,121.30
1959,7,12.70,0.00,48.00
1959,8,28.40,0.00,127.20
1959,9,17.50,0.00,79.40
1959,10,0.00,0.00,0.00
1959,11,17.50,0.00,72.10
1960,12,121.90,0.00,295.10
